"","species","logFC","p_value","logP"
"2213","Cohnella abietis",-0.23187227082785,0.875676523678868,0.0576562932903719
"2214","Cohnella candidum",0.369044405127232,0.586543940994404,0.231699447117819
"2215","Cohnella sp. LGH",0.317616363728071,0.610736255558352,0.214146297915444
"2216","Aneurinibacillus soli",0.0197035824620897,0.981260778105304,0.00821555995782327
"2217","Thermobacillus composti",0.0730351516967306,0.908847984149526,0.041508751724136
"2218","Saccharibacillus brassicae",0.0225368601956524,0.970076945218592,0.0131938167043563
"2219","Listeria monocytogenes",0.187760770494097,0.787855300315961,0.10355353891254
"2220","Listeria grayi",-0.364097607825061,0.733123840290448,0.134822657539008
"2221","Listeria weihenstephanensis",-0.274909944243374,0.823709659464408,0.0842258411093191
"2222","Brochothrix thermosphacta",0.600193592082536,0.623398847611009,0.20523400487702
"2223","Sporolactobacillus terrae",0.415093453239408,0.48363947585102,0.315478258174017
"2224","Streptococcus milleri",3.32463930918878,0.719641592238252,0.142883744218145
"2225","Streptococcus pasteurianus",0.674989763994292,0.815163922139245,0.0887550497604247
"2226","Streptococcus gordonii",2.72133706012423,0.788619921419557,0.103132256360808
"2227","Streptococcus oralis",1.47190810967142,0.797462253435834,0.0982898643992988
"2228","Streptococcus salivarius",0.602108669683903,0.79824725943674,0.0978625638170728
"2229","Streptococcus sanguinis",1.00074873358053,0.677197448302555,0.169284686992825
"2230","Streptococcus mutans",1.59586002053402,0.814279688915313,0.0892263979494124
"2231","Streptococcus agalactiae",0.389893411300057,0.588197884169884,0.230476542044177
"2232","Streptococcus suis",0.106557728218596,0.88693897976266,0.0521062580306738
"2233","Streptococcus pneumoniae",0.482863084065887,0.795952797325258,0.0991126866203898
"2234","Streptococcus parasanguinis",1.38319650691984,0.75020003832935,0.124822917996247
"2235","Streptococcus pyogenes",0.304791315400023,0.792804097633873,0.100834113851766
"2236","Streptococcus sp. NPS 308",1.737195042195,0.787855300315961,0.10355353891254
"2237","Streptococcus sp. FDAARGOS_192",0.488965236637508,0.842437421697158,0.0744623497100225
"2238","Streptococcus sp. HSISM1",1.54766427164747,0.765280352180209,0.116179436610771
"2239","Streptococcus sp. HSISS1",0.69796640660574,0.797462253435834,0.0982898643992988
"2240","Streptococcus sp. HSISS2",1.07280989402058,0.739075871188869,0.131310976020181
"2241","Streptococcus sp. HSISS3",1.0847479360657,0.743972981930195,0.128442835975207
"2242","Streptococcus sp. Marseille-Q3533",0.993634632726347,0.797462253435834,0.0982898643992988
"2243","Streptococcus sp. 116-D4",1.00076542989571,0.80285925255227,0.0953605832362566
"2244","Streptococcus sp. KS 6",-0.739139585624104,0.877187281637965,0.0569076737962627
"2245","Streptococcus sp. NSJ-72",1.81749930248576,0.571463469167375,0.243011526679211
"2246","Streptococcus sp. LPB0220",1.61878051851076,0.761554575705543,0.118298968127727
"2247","Streptococcus sp. A12",1.44301273086125,0.799819182468634,0.0970081841730214
"2248","Streptococcus sp. Marseille-Q6470",0.532837218569115,0.846605893600861,0.0723187125340812
"2249","Streptococcus sp. oral taxon 061",0.773014981645104,0.805046937272978,0.0941787978875491
"2250","Streptococcus sp. oral taxon 064",1.79603399316962,0.793142685337359,0.100648676641543
"2251","Streptococcus sp. oral taxon 431",0.829838442302665,0.825327706074301,0.0833735754732106
"2252","Streptococcus sp. NCTC 11567",-0.682843958739824,0.80285925255227,0.0953605832362566
"2253","Streptococcus sp. FDAARGOS_522",1.61801075111198,0.789514964405807,0.102639633993526
"2254","Streptococcus acidominimus",-0.482712681702741,0.715455037760551,0.145417653960178
"2255","Streptococcus anginosus",2.67428386645416,0.558412204026743,0.253045098831252
"2256","Streptococcus intermedius",1.32834377128701,0.667509113529698,0.175542800482279
"2257","Streptococcus constellatus",1.71655376125688,0.61347278879202,0.212204696082145
"2258","Streptococcus canis",0.991844325606911,0.278946451563157,0.554479158814796
"2259","Streptococcus dysgalactiae",0.5597768623142,0.754590978610944,0.12228839124065
"2260","Streptococcus equi",0.250874771578245,0.758332581634185,0.120140284221855
"2261","Streptococcus equinus",2.2883602714857,0.667509113529698,0.175542800482279
"2262","Streptococcus porcinus",0.401516895369865,0.877187281637965,0.0569076737962627
"2263","Streptococcus ratti",0.705541041680872,0.362426282912293,0.440780315107034
"2264","Streptococcus parauberis",0.0257978673297659,0.994356708445946,0.002457791941141
"2265","Streptococcus toyakuensis",0.267754351541274,0.905733270781516,0.0429996787942494
"2266","Streptococcus infantis",1.27300932570766,0.775331614375885,0.110512507183504
"2267","Streptococcus infantarius",2.90167411227473,0.733123840290448,0.134822657539008
"2268","Streptococcus thermophilus",0.609300606351665,0.734252107017723,0.13415479854727
"2269","Streptococcus vestibularis",1.68062542565805,0.715776755784103,0.145222409045496
"2270","Streptococcus merionis",-0.0994394193372332,0.903650222189495,0.0439996402863647
"2271","Streptococcus ilei",1.05961332983716,0.822947036290257,0.0846281144682281
"2272","Streptococcus chenjunshii",0.75999680642666,0.794426941302576,0.0999460360878973
"2273","Streptococcus cristatus",2.26558741690366,0.793142685337359,0.100648676641543
"2274","Streptococcus australis",1.41342874733493,0.793142685337359,0.100648676641543
"2275","Streptococcus pluranimalium",0.754108158613404,0.737849775463449,0.132032050545995
"2276","Streptococcus ruminantium",0.715271290050883,0.719641592238252,0.142883744218145
"2277","Streptococcus lutetiensis",3.84982430412483,0.771564438018576,0.112627797524024
"2278","Streptococcus gallolyticus",0.228126156020445,0.918788772498964,0.0367843204769436
"2279","Streptococcus rubneri",0.99593595162692,0.810457377480915,0.0912698200647952
"2280","Streptococcus koreensis",0.992951916447862,0.823957276331225,0.0840953066701579
"2281","Streptococcus gwangjuense",0.693687679497379,0.799819182468634,0.0970081841730214
"2282","Streptococcus parasuis",1.15479456440303,0.101838342780243,0.992088676589786
"2283","Streptococcus mitis",0.559509963300918,0.846605893600861,0.0723187125340812
"2284","Streptococcus pseudopneumoniae",0.377573737476644,0.902331991645471,0.0446336447061581
"2285","Streptococcus lactarius",1.53223763263117,0.771564438018576,0.112627797524024
"2286","Streptococcus oriscaviae",1.46216332194306,0.15203214826107,0.818064567738649
"2287","Lactococcus lactis",1.63313452910318,0.80285925255227,0.0953605832362566
"2288","Lactococcus cremoris",0.12394301671844,0.903650222189495,0.0439996402863647
"2289","Lactococcus garvieae",0.294443378035745,0.95477474124415,0.0200990788602844
"2290","Lactococcus piscium",-0.227277650395875,0.847029098424644,0.0721016698721442
"2291","Lactococcus raffinolactis",0.643119871545188,0.782088320195209,0.10674419987169
"2292","Lactococcus petauri",-1.95917514518203,0.483160291723403,0.315908765185832
"2293","Floricoccus penangensis",0.0343620110316468,0.986362946316327,0.00596325080061471
"2294","Lentilactobacillus kefiri",-1.20820821859206,0.727846182329319,0.137960391598829
"2295","Lentilactobacillus hilgardii",0.463442560669995,0.761129154669461,0.118541642308291
"2296","Lentilactobacillus curieae",1.24432889319207,0.216644050287306,0.66425323352955
"2297","Latilactobacillus sakei",-3.34942818782821,0.730050149156123,0.136647305970349
"2298","Latilactobacillus curvatus",-0.138203782201381,0.917094367272543,0.0375859739514411
"2299","Lactobacillus johnsonii",2.5792703720659,0.760730313311486,0.118769277787826
"2300","Lactobacillus acidophilus",0.21827438717939,0.952670446625553,0.0210573070890331
"2301","Lactobacillus delbrueckii",3.13979624211744,0.492657092613226,0.307455260442277
"2302","Lactobacillus helveticus",0.608367745478509,0.761239241131462,0.118478832356121
"2303","Lactobacillus gasseri",0.426333737609299,0.903650222189495,0.0439996402863647
"2304","Lactobacillus amylovorus",-1.12091288366674,0.825696129794412,0.0831797510258272
"2305","Lactobacillus paragasseri",0.533609990346107,0.867383296885369,0.0617889452727536
"2306","Lactobacillus panisapium",0.335212501909298,0.847029098424644,0.0721016698721442
"2307","Lactobacillus crispatus",4.69807620532314,0.793304406011342,0.100560133636299
"2308","Lactobacillus iners",-0.052541340796118,0.976479204917338,0.0103370010047127
"2309","Leuconostoc citreum",-1.68871262325709,0.775830760954443,0.110233005029946
"2310","Leuconostoc mesenteroides",0.142142409827502,0.928619145536638,0.032162366636676
"2311","Leuconostoc lactis",0.00513323482271562,0.998301442708404,0.000738301260087818
"2312","Leuconostoc kimchii",-0.345426277483867,0.815163922139245,0.0887550497604247
"2313","Leuconostoc garlicum",-0.294569449129242,0.92061682300291,0.0359210932367679
"2314","Leuconostoc gelidum",-0.415636144382674,0.846605893600861,0.0723187125340812
"2315","Oenococcus oeni",-0.305188027605721,0.846605893600861,0.0723187125340812
"2316","Pediococcus acidilactici",2.48008863718702,0.815163922139245,0.0887550497604247
"2317","Weissella confusa",3.27310329903969,0.721812507303399,0.141575596915208
"2318","Weissella cibaria",-0.258441844354271,0.892640216647873,0.0493235505284315
"2319","Weissella diestrammenae",0.449494978431264,0.799819182468634,0.0970081841730214
"2320","Levilactobacillus brevis",1.26456029100667,0.80333913405055,0.0951010761982594
"2321","Levilactobacillus zymae",0.356808589637759,0.761554575705543,0.118298968127727
"2322","Lacticaseibacillus casei",0.554503176639003,0.707021984749552,0.150567081667075
"2323","Lacticaseibacillus paracasei",-0.771764916264904,0.771564438018576,0.112627797524024
"2324","Lacticaseibacillus rhamnosus",-0.555063750081931,0.846605893600861,0.0723187125340812
"2325","Lacticaseibacillus manihotivorans",0.565129144625887,0.628293284456943,0.201837582236757
"2326","Lactiplantibacillus pentosus",-0.111259607577469,0.916463094224361,0.0378850192968848
"2327","Lactiplantibacillus plantarum",0.562819657325027,0.811579238081508,0.0906690716706879
"2328","Ligilactobacillus agilis",0.721267900233814,0.875240872510475,0.0578724095992093
"2329","Ligilactobacillus murinus",0.591269836796199,0.747648911857811,0.126302294431927
"2330","Ligilactobacillus ruminis",3.04774090715727,0.0539820283748283,1.26775080085685
"2331","Ligilactobacillus salivarius",1.43480264529853,0.835429915757386,0.0780899772206064
"2332","Companilactobacillus allii",0.36604662704626,0.846605893600861,0.0723187125340812
"2333","Companilactobacillus paralimentarius",-0.536904696786756,0.761239241131462,0.118478832356121
"2334","Limosilactobacillus reuteri",-1.3994997206692,0.811579238081508,0.0906690716706879
"2335","Limosilactobacillus fermentum",1.2120167586077,0.79553765590947,0.0993392586740381
"2336","Limosilactobacillus oris",-0.128374499105703,0.986362946316327,0.00596325080061471
